longname,shortname,year,chapid
"Woolmington, E. and Burgess, J.S. (1983), Hedonistic water use and low-flow runoff in Australia's national capital, Urban Ecology, volume 7(3), pp. 215-227.",Woolmington and Burgess,1983,b5_c3_r92
"Zaman, S. and Ball, J.E. (1994), Simulation of small events in an urban catchment, Proceedings of the 1994 Hydrology and Water Resources Conference - Water Down Under '94, I.E.Aust. Nat. Conf. Pub. 94/15 pp353 - 358, Adelaide.",Zaman and Ball,1994,b5_c3_r93
"Ren-Jun., Z (1992) The Xinanjiang model applied in China. Journal of Hydrology. 135 pp 371- 381",Ren-Jun et al,1992,b5_c3_r94
"Boyd, M.J., Rigby, E.H., VanDrie, R. and Schymitzek, I. (2002), WBMN2000 for flood studies on natural and urban catchments, In 'Mathematical Models of Small Watershed Hydrology and Applications', pp. 225-258.",Boyd et al,2002,b5_c3_r95
"Ball, J.E. and Zaman, S. (1994) 'Simulation of small events in an urban catchment', National Conference Publication - Institution of Engineers, Australia, pp. 353-358.",Ball and Zaman,1994,b5_c3_r97
"Bufill, M. C. and Boyd M. J. (1992), A sample flood hydrograph model for urban catchment, Proceedings of the International Symposium on Urban Management, volume 98, pp. 98-103, Sydney.",Bufill and Boyd,1992,b5_c3_r98
"Minty, L.J. and Meighen, J. (1999), Development of temporal distributions of rainfall antecedent to large and extreme design bursts over southeast Australia, Hydrology Report Series HRS Report No. 6, Hydrometeorological Advisory Service, Melbourne: Bureau of Meteorology.",Minty and Meighen,1999,b5_c3_r99
"Brodie, R.S. and Hostetler, S. (2005), A review of techniques for analysing baseflow from stream hydrographs, Proceedings of the NZHS-IAH-NZSSS 2005 conference, 28 November - 2 December, Auckland, New Zealand.",Brodie and Hostetler,2005,b5_c4_r1
"Murphy, R., Graszkiewicz, Z., Hill, P. and Nathan R. (2010), Project 7: Baseflow for catchment simulation, Data collection and catchment characteristics, Report prepared for Engineers Australia. ",Murphy et al,2010,b5_c4_r10
"Chapman, T.G. and Maxwell, A.I. (1996), Baseflow separation - Comparison of numerical methods with tracer experiments, Proceedings of the 23rd Hydrology and Water Resources Symposium, 21-24 May, Hobart, Australia.",Chapman and Maxwell,1996,b5_c4_r2
"Graszkiewicz, Z., Murphy, R.E., Hill, P.I., Nathan, R.J. (2011), Review of techniques for estimating the contribution of baseflow to flood hydrographs, Proceedings of the 34th IAHR World Congress, 26 June - 1 July Brisbane, Australia.",Graszkiewicz et al,2011,b5_c4_r3
"Kinkela, K., Pearce, L.J. (2014), Assessment of baseflow seasonality and application to design flood events in southwest Western Australia, Australian Journal of Water Resources, volume 18(1).",Kinkela and Pearce,2014,b5_c4_r4
"Ladson, A.R., Brown, R., Neal, B., and Nathan, R. (2013), A standard approach to baseflow separation using the Lyne and Hollick filter. Aus J Water Resour. 17(1): 25-33.",Ladson et al,2013,b5_c4_r5
"Murphy, R., Graszkiewicz, Z., Hill, P., Neal, B., Nathan, R., and Ladson, T. (2009), Project 7: Baseflow for catchment simulation, Phase 1 - selection of baseflow separation approach. Report prepared for the Australian Rainfall and Runoff Technical Committee by Sinclair Knight Merz, AR&R Report Number P7/S1/004, ISBN 978-085825-9218.",Murphy et al,2009,b5_c4_r6
"Murphy, R.E., Graszkiewicz, Z., Hill, P.I., Neal, B.P., Nathan, R.J. (2011), Predicting baseflow contributions to design flood events in Australia, Proceedings of the 34th IAHR World Congress, 26 June - 1 July , Brisbane, Australia.",Murphy et al,2011,b5_c4_r7
"Murphy, R., Graszkiewicz, Z., Hill, P., Neal, B., and Nathan, R. (2011), Project 7: Baseflow for catchment simulation, Phase 2 - development of baseflow estimation approach. Report prepared for the Australian Rainfall and Runoff Technical Committee by Sinclair Knight Merz, ARR Report Number P7/S2/017, ISBN 978-0-85825-916-4.",Murphy et al,2011,b5_c4_r8
"Nathan, R.J. and McMahon, T.A. (1990), Evaluation of automated techniques for base flow and recession analyses, Water Resources Research, volume 26(7), pp. 1465-1473.",Nathan and McMahon,1990,b5_c4_r9
"Bedient, P.B., Huber, W.C. and Vieux, B.E. (2008), Hydrology and floodplain analysis, ed. 4, Upper Saddle River: Prentice Hall.",Bedient et al,2008,b5_c5_r1
"Kalinin, G. P. and Miljukov, P. I. (1958), Approximate methods for computing unsteady flow movement of water masses (in Russian), Transactions Central Forecasting Institute, 66.",Kalinin and Miljukov,1958,b5_c5_r10
"Koussis, A.D. (2009), Assessment and review of the hydraulics of storage routing 70 years after the presentation of the Muskingum method. Hydrological Sciences Journal, volume 54(1), pp. 43-61, available at <http://dx.doi.org/10.1623/hysj.54.1.43>.",Koussis,2009,b5_c5_r11
"Laurenson, E.M. (1986), Variable time-step nonlinear flood routing, In Hydrosoft '86; Hydraulic Engineering Software, Proceeding sof the 2nd International Conference, Computational Mechanics Publns, Springer-Verlag, 9-12 September, pp. 61-72, Berlin.",Laurenson ,1986,b5_c5_r12
"Laurenson, E.M. (1998). Hydrology CIV3263 Course Notes, Monash University, Department of Civil Engineering.",Laurenson ,1998,b5_c5_r13
"Laurenson, E.M., Mein, R.G. and Nathan, R.J. (2010). RORB Version 6 Runoff Routing Program - User Manual.",Laurenson et al,2010,b5_c5_r14
"Lighthill, M.J. and Witham, G.B. (1955), On kinematic waves I,  Proceedings of the Royal Society of London, volume 229, pp. 281-316.",Lighthill and Witham,1955,b5_c5_r15
"McCarthy, G.T. (1938), The unit hydrograph and flood routing, Manuscript presented at a conference of the North Atlantic Division, United States Army Corps of Engineers, 24 June (unpublished).",McCarthy,1938,b5_c5_r16
"Mein, R.G., Laurenson, E.M. and McMahon, T.A. (1975), Simple nonlinear model for flood estimation, Journal of Hydrology, volume 100(HY11), pp. 1507-1518.",Mein et al,1975,b5_c5_r17
"Miller, J.E. (1984), Basic concepts in kinematic wave models. U.S. Geological Survey Professional Paper 1302, Washington: United States Government Printing Office.",Miller,1984,b5_c5_r18
"Carroll, D.G. (2012). URBS (Unified River Basin Simulator) - A rainfall runoff routing model for flood forecasting and design, Version 5.00.",Carroll,2012,b5_c5_r2
"Stephenson, D. (1979), Direct optimization of Muskingum routing coefficients, Journal of Hydrology, volume 41, pp. 161-165.",Stephenson,1979,b5_c5_r20
"Weinmann, P.E. (1977), Comparison of flood routing methods for natural rivers, Civil Engineering Research Report No. 2/1977, Clayton: Monash University.",Weinmann ,1977,b5_c5_r21
"Wong, T.H.F. (1985), Reach subdivision for storage routing in rivers, Proceedings of the 21st IAHR Congress, 19-23 August, Melbourne.",Wong ,1985,b5_c5_r22
"Wong, T.H.F. and Laurenson E.M. (1983), Wave speed-discharge relations in natural channels, Water Resources Res. volume 19, pp. 701-706.",Wong and Laurenson,1983,b5_c5_r23
"Zoppou, C. (1999), Reverse routing of flood hydrographs using level pool routing, Journal of Hydrologic Engineering, volume 4(2), pp. 184 - 188.",Zoppou,1999,b5_c5_r24
"Laurenson, E.M. (1962), Hydrograph synthesis by runoff routing, Report No. 66, Sydney: Water Research Laboratory, University of New South Wales.",Laurenson,1962,b5_c5_r25
"Nash, J.E. (1959), A note on the Muskingum flood-routing method, Journal of Geophysical Research, volume 64(8), pp. 1053-1056.",Nash,1959,b5_c5_r26
"Boyd, M.J., Pilgrim, D.H., Knee, R.M. and Budiawan, D. (1989), Reverse Routing to Obtain Upstream Hydrographs. Hydrology and Water Resources Symposium. Christchurch, NZ, 23-30 November. Preprints of Papers (p. 372). Institution of Engineers, Australia.",Boyd et al,1989,b5_c5_r27
"Chang, C.N., da Motta Singer, E. and Koussis, A.D. (1983), On the mathematics of storage routing, Jounral of Hydrology, volume 61 (4), pp. 357-370.",Chang et al,1983,b5_c5_r3
"Chapra, S.C. and Canale, R.P. (2010), Numerical methods for engineers, New York: McGraw Hill.",Chapra and Canale,2010,b5_c5_r4
"Cunge, J.A. (1969), On the subject of a flood propagation method, Journal of Hydrology Research, volume 7(2), pp. 205-230.",Cunge,1969,b5_c5_r5
"Fenton, J. D. (1992), Reservoir routing,  Hydrological Sciences Journal, volume 37(3), pp. 233-246.",Fenton,1992,b5_c5_r6
"Fread, D.L. (1985), Channel routing. In 'Hydrological Forecasting', Chichester: John Wiley and Sons Ltd.",Fread,1985,b5_c5_r7
"United States Army Corps of Engineers (USACE). (1993). Introduction and application of kinematic wave routing techniques using HEC-1. US Army Corp of Engineers, Hydrologic Engineering Centre http://www.hec.usace.army.mil/publications/TrainingDocuments/TD-10.pdf accessed 19/03/2016.",USACE,1993,b5_c5_r8
"Henderson, F.M. (1966), Open Channel Flow, Macmillan Publishing Co., New York",Henderson,1966,b5_c5_r9
"ARR (2012). Australian Rainfall and Runoff Revision Project 15: Two-dimensional modelling in urban and rural floodplains, Stage 1 and Stage 2 Report.",ARR,2012,b5_c6_r1
"Clark, C.O. (1945), Storage and the unit hydrograph, Transactions of the American Society of Civil Engineers, volume 110, pp.1419-1488.",Clark,1945,b5_c6_r10
"Cordery, I. (1987), The unit hydrograph method of flood estimation, Chapter 8 in Australian Rainfall & Runoff - A Guide to Flood Estimation, Barton: Engineers Australia.",Cordery,1987,b5_c6_r11
"Cordery, I. and Webb, S.N. (1974), Flood estimation in eastern New South Wales - a design method, Civil Engineering Transactions, Institution of Engineers, Australia, volume 16, pp. 87-93.",Cordery and Webb,1974,b5_c6_r12
"Cordery, I., Pilgrim, D.H. and Baron, B.C. (1981), Validity of use of small catchment research results for large basins, Civil Engineering Transactions, Institution of Engineers, Australia, volume CE23, pp. 131-137.",Cordery et al,1981,b5_c6_r13
"United States Environmental Protection Agency (2015), Storm water management model - user manual version5.1, Washington: United States Environmental Protection Agency, available at: <http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=P100N3J6.TXT>, accessed 19/03/2016.",EPA,2015,b5_c6_r14
"United States Environmental Protection Agency (2016), Storm water management model - reference manual, volume 1 - Hydrology (Revised), Washington: United States Environmental Protection Agency, available at: <http://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=P100NYRA.txt>, accessed 19/03/2016.",EPA,2016,b5_c6_r15
"Goyen, A. (2005), Changes to urban stormwater management from ARR1958 to ARR2008? - 2005 Munro Oration, delivered at the 29th Hydrology and Water Resources Symposium, 20-23 February, Canberra.",Goyen,2005,b5_c6_r16
"Hawken, R.W.H. (1921), An analysis of maximum run-off and rainfall intensity, Transactions of the Institution of Engineers, Australia, volume 2, pp.193-215.",Hawken,1921,b5_c6_r17
"HEC (1993). Introduction and application of kinematic wave routing techniques using HEC-1. US Army Corp of Engineers, Hydrologic Engineering Centre http://www.hec.usace.army.mil/publications/TrainingDocuments/TD-10.pdf accessed 19/03/2016.",HEC,1993,b5_c6_r18
"HEC (2000), Hydrologic Modelling System HEC-HMS Technical Reference Manual, United States Army Corp of Engineers, Hydrologic Engineering Centre, available at: <http://www.hec.usace.army.mil/software/hec-hms/documentation/HEC-HMS_Technical%20Reference%20Manual_%28CPD-74B%29.pdf>, accessed 19/03/2016.",HEC,2000,b5_c6_r19
"Bedient, P.B., Huber, W.C. and Vieux, B.E. (2008), Hydrology and floodplain analysis, ed. 4, Upper Saddle River: Prentice Hall.",Bedient et al,2008,b5_c6_r2
"Kemp, D.J. (2002), The development of a rainfall-runoff-routing (RRR) model. Thesis submitted to the Department of Civil and Environmental Engineering, University of Adelaide.",Kemp,2002,b5_c6_r20
"Kemp, D.J. and Daniell, T.M. (1996), A proposal for a rainfall runoff routing (RRR) model. I.E.Aust. Proceedings of the 23rd Hydrology and Water Resources Symposium, May, Hobart, pp. 15-20.",Kemp and Daniell,1996,b5_c6_r21
"Laurenson, E.M. (1962), Hydrograph synthesis by runoff routing, Research Report 66, Sydney: Water Research Laboratory, University of New South Wales.",Laurenson,1962,b5_c6_r22
"Laurenson, E.M. (1964), A catchment storage model for a runoff routing, Journal of Hydrology, volume 2, pp. 141-163.",Laurenson,1964,b5_c6_r23
"Laurenson, E.M. (1975), Streamflow in catchment modeling, Proceedings of Prediction in Catchment Hydrology - a national symposium on Hydrology, sponsored by the Australian Academy of Science, 25-27 November, Canberra.",Laurenson,1975,b5_c6_r24
"Laurenson, E.M. (1998). Hydrology CIV3263 Course Notes, Monash University, Department of Civil Engineering.",Laurenson,1998,b5_c6_r25
"Laurenson, E.M., Mein, R.G. and Nathan, R.J. (2010). RORB Version 6 Runoff Routing Program - User Manual.",Laurenson et al,2010,b5_c6_r26
"Leopold, L.B., Wolman, M.G. and Miller, J.P. (1964), Fluvial processes in geomorphology, San Francisco: W.H. Freeman",Leopold et al,1964,b5_c6_r27
"Nash, J.E. (1960), A unit hydrograph study with particular reference to British catchments, Proceedings of the Institute Civil Engineers, volume 17, pp. 249-282.",Nash,1960,b5_c6_r28
"O'Loughlin, G. and Stack, R. (2014), DRAINS User Manual - a manual on the DRAINS program for urban stormwater drainage system design and analysis, available at: <http://www.watercom.com.au/DRAINS%20Manual.pdf>, accessed 19/03/2016.",O'Loughlin and Slack,2014,b5_c6_r29
"Bernard, M.M. (1935), An approach to determinate streamflow, Transactions of the American Society of Civil Engineers, volume 100, pp. 347-395.",Bernard,1935,b5_c6_r3
"Pilgrim, D.H. (1966), Radioactive tracing of storm runoff on a small catchment - 1. Experimental technique, Journal of Hydrology, volume 4, pp. 289-305.",Pilgrim,1966,b5_c6_r30
"Pilgrim, D.H. (1966), Radioactive tracing of storm runoff on a small catchment - 2. Discussion of results, Journal of Hydrology, volume 4, pp.306-326.",Pilgrim,1966,b5_c6_r31
"Pilgrim, D.H. (1977), Isochrones of travel time and distribution of flood storage from a tracer study on a small watershed, Water Resources Research,  volume 13(3), pp. 587-596.",Pilgrim,1977,b5_c6_r32
"Ross, C.N. (1921), The calculation of flood discharges by the use of a time contour plan, Transations of the Institution of Engineers, Australia, volume 2, pp. 85-92.",Ross,1921,b5_c6_r33
"Sherman, L.K. (1932), Streamflow from rainfall by unitgraph method, Engineering News Record, volume 108, pp. 501-505.",Sherman,1932,b5_c6_r34
"Titmarsh, G.W. and Cordery, I. (1991), An examination of linear and non linear flood estimation methods for small agricultural catchments, Australian Civl Engineering Transactions, volume 33(4), pp. 233-242.",Titmarsh and Cordery,1991,b5_c6_r35
"xpsolutions (2016), Rafts: Urban and rural runoff routing application, Belconnen, available at: <http://xpsolutions.com/assets/dms/ XPRAFTS-tech-desc.pdf>, accessed 18/03/2016.",xpsolutions,2016,b5_c6_r36
"Robinson, J. S., Sivapalan, M. and Snell J. D. (1995), On the relative roles of hillslope processes, channel routing, and network morphology in the hydrologic response of natural catchments, Water Resour. Res., volume 30(12), pp. 3089-3101.",Robinson et al,1995,b5_c6_r37
"Yu, B and Ford, B.R. (1989). Self-Consistency in Runoff Routing Models. IEAust Civil Engg. Trans., Vol. CE31, No1, May 1989, pp 47-53.",Yu and Ford,1989,b5_c6_r38
"Body, D.N. (1962), Significance of peak runoff intensity in the application of the unit graph method to flood estimation, Journal of the Institution of Engineers, Australia, volume 34, pp. 25-31.",Body,1962,b5_c6_r4
"Boyd, M.J. (1975), Hydrograph synthesis using mathematical models, Proceedings of the 1975 Hydrology Symposium, Institution of Engineers, Australia, NCP 75/3, pp. 117-121.",Boyd,1975,b5_c6_r5
"Boyd, M.J. (1985), Effect of catchment subdivision on runoff routing models, Civil Engineering Transactions, Institution of Engineers, Australia, volume 27, pp. 403-410.",Boyd,1985,b5_c6_r6
"Boyd, M.J. (1982).  A note on the Cordery-Webb synthetic unit hydrograph, IEAust. Civil Engineering Transactions, Vol.CE24, No.1, pp.107-108.",Boyd,1982,b5_c6_r7
"Boyd, M.J., Rigby, E.H., VanDrie, R. and Schymitzek, I. (2002), WBMN2000 for flood studies on natural and urban catchments, In 'Mathematical Models of Small Watershed Hydrology and Applications', pp. 225-258.",Boyd et al,2002,b5_c6_r8
"Carroll, D.G. (2012). URBS (Unified River Basin Simulator) - A rainfall runoff routing model for flood forecasting and design, Version 5.00.",Carroll,2012,b5_c6_r9
"Nathan, R.J. and Weinmann, P.E. (1997), Estimation of Large to Extreme Floods, Book VI in Australian Rainfall and Runoff - A Guide to Flood Estimation, The Institution of Engineers, Australia, Barton, ACT.",Nathan and Weinmann,1997,b6_1997_arr
"Abbott, M.B. (1979), Computational Hydraulics - `s of the Theory of Free Surface Flows, Pitman, London.",Abbott,1979,b6_c2_r1
"AS Committee (2006), PL-045. Australian Standard AS 2200, Design Charts for Water Supply and Sewerage. Standards Australia, Sydney, January 2006. ISBN 0 7337 7084 3.",AS 2200,2006,b6_c2_r10
"Rajaratnam, N. and Ahmadi, R.M. (1983), Meandering Channels with Flood plains. Unpublished Paper.",Rajaratnam and Ahmadi,1983,b6_c2_r100
"Reynolds, O. (1894), On the Dynamic Theory of Incompressible fluids and the Determination of Criterion. Phil. Trans., Roy. Soc., volume 186, pp. 123.",Reynolds,1894,b6_c2_r101
"Rodi, W. (1980), Turbulence models and their applications in hydraulics - a state of the art review. Delft: IAHR book publications.",Rodi,1980,b6_c2_r102
"Rutherford, J. C. (1994),'River Mixing', John Wiley and Sons, Inc., New York",Rutherford,1994,b6_c2_r103
"Samuels, P.G. (1989), Backwater lengths in rivers. Proceedings of the Institution of Civil Engineers, Part 2, 87:571-582, December 1989. Paper 9479, Water Engineering Group.",Samuels,1989,b6_c2_r104
"Samuels, P.G. and Chawdhary, K.S. (1992), A backwater method for trans-critical flows. In R. A. Falconer, K. Shiono, and R. G. S. Matthew, editors, Proceedings of the Second International Conference on Hydraulic and Environmental Modelling of Coastal, Estuarine and River Waters, volume two, pp.79-89, Aldershot, U.K., 1992. Ashgate Publishing Limited. Conference organised and sponsored by Hydraulics Research Limited, ISBN 1 85742 085 3.",Samuels and Chawdhary,1992,b6_c2_r105
"Schoellhamer, D.H., Peters, J.C. and Larok, B.E. (1985), Subdivision Froude Number.Journal of Hydraulic Engineering, ASCE Vol. 111, No 7, July, 1985. pp. 1099-1104.",Schoellhamer et al,1985,b6_c2_r106
"Schlichting, H. (1968), Boundary-Layer Theory, McGraw-Hill Book Company, New York, USA, 6th Ed.",Schlichting,1968,b6_c2_r107
"Sellin, R.H.J. (1961), A Study of the Interaction between Flow in the Channel of a River and that over its Floodplain. Diss. PhD Thesis, Department of Civil Engineering, University of Bristol, UK.",Sellin,1961,b6_c2_r108
"Sellin, R.H.J. (1964), A laboratory investigation into the interaction between flow in the channel of a river and that over its flood plain. La Houille Blanche, Nov. 1964, volume 19, no. 7, pp. 793-801.",Sellin,1964,b6_c2_r109
"Baird, J.I. and Ervine, D.A. (1984), Resistance to flow in channels with overbank flood-plain flow. Proc. of the 1st Int. Conference on Hydraulic Design in Water Resources Engineering: Channels and Channel Control Structures, University of Southampton, U.K., Apr. 1984, pp. 4.137-4.150.",Baird and Ervine,1984,b6_c2_r11
"Sellin, R.H.J. and Giles, A. (1988), Two Stage Channel Flow, Final Report for the Thames Water Authority, Department of Civil Engineering, University of Bristol.",Sellin and Giles,1988,b6_c2_r110
"Sellin, R.H.J., Ervine, D.A. and Willets, B.B. (1993), Behaviour of meandering two-stage channels. Proc. of the Institution of Civil Engineers, Water, Maritime and Energy, June 1993, volume 101, no. 2, pp. 99-111.",Sellin et al,1993,b6_c2_r111
"Shiono, K. and Knight, D.W. (1988), Two Dimensional Analytical Solution for a Compound Channel. Proc. 3rd Int. Symp. on Refined Flow Modelling and Turbulence Measurements, Tokyo, Japan, Jul. 1988, pp. 503-510.",Shiono and Knight,1988,b6_c2_r112
"Shiono, K. and Knight, D.W. (1989), Transverse and vertical Reynolds stress measurements in a shear layer region of a compound channel. Proc. 7th Int. Symp. on Turbulent Shear Flows, Stanford University, USA, Aug. 1989, pp. 28.1.1-28.1.6.",Shiono and Knight,1989,b6_c2_r113
"Shiono, K. and Knight, D.W. (1990), Mathematical models of flow in two or multi-stage straight channels, Int. Conf. on River Flood Hydraulics, Ed. W.R. White, Wallingford, England, pp. 229-238.",Shiono and Knight,1990,b6_c2_r114
"Shiono, K. and Knight, D.W. (1991), Turbulent open channel flows with variable depth across the channel. Journal of Fluid Mechanics, 1991, volume 222, pp. 617-646.",Shiono and Knight,1991,b6_c2_r115
"Smith, C.D. (1978), Effect of channel meanders on flood stage in valley. Proc. ASCE, Journal of the Hydraulics Division, Jan. 1978, volume 104, no. HY1, pp. 49-58.",Smith,1978,b6_c2_r116
"Strelkoff, T. (1969), One dimensional Equations of Open-Channel Flow. Journal of the Hydraulics Division, ASCE, May 1969, volume 95, no. HY3, pp. 861-876.",Strelkoff,1969,b6_c2_r117
"Stelling, G.S. (1984), On the Construction of Computational Methods for Shallow Water Flow Problems, Rijkswaterstaat Communications, No. 35/1984, The Hague.",Stelling,1984,b6_c2_r118
"Stelling, G.S., Kernkamp, H.W.J and Laguzzi, M.M. (1998), Delft Flooding System: A Powerful Tool for Inundation Assessment based upon a Positive Flow Simulation, in V. Babovic and L.C. Larsen (eds) Hydroinformatics '98, A.A. Balkema, Brookfield.",Stelling et al,1998,b6_c2_r119
"Barnes, H.H.Jr. (1967), Roughness characteristics of natural channels. Geological Survey Water- Supply Paper 1849, U.S. Department of the Interior, Geological Survey, pages 1-213, 1967. Electronic full text available as 'Roughness characteristics of normal supply channels', available at web.utk.edu/btschant/manning%20n/two.htm.",Barnes,1967,b6_c2_r12
"Streeter, V. L. and Wylie, E. B. (1979),'Fluid Mechanics', (7th ed), McGraw-Hill Kogakusha Ltd., Japan",Streeter and Wylie,1979,b6_c2_r120
"Streeter, V.L. and Wylie E.B. (1981), Fluid Mechanics. McGraw-Hill Ryerson Ltd., Singapore.",Streeter and Wylie,1981,b6_c2_r121
"Sturm, T. (2009), Open Channel Hydraulics Sturm, McGraw-Hill Water Resources and Environmental Engineering Series, New York,",Sturm,2009,b6_c2_r122
"Sturm, T.W. and Sadiq, A. (1996),Water surface profiles in compound channel with multiple critical depths. Journal of Hydraulic Engineering. ASCE. Volume 122, No, 12, pp. 703-709.",Sturm and Sadiq,1996,b6_c2_r123
"Syme, W.J. (2001), TUFLOW - Two and One-Dimensional Unsteady Flow Software for Rivers, Estuaries and Coastal Waters, I.E.Aust Workshop on 2D Flood Modelling, Sydney.",Syme,2001,b6_c2_r124
"Tamai, N., Asaesa, T. and Ikeda, H. (1986), Study on Generation of Periodical Large Surface Eddies in a Composite Channel Flow. Water Resources Research, Jul. 1986, volume 22, no. 7, pp. 1129-1138.",Tamai et al,1986,b6_c2_r125
"Toebes, G.H. and Sooky, A.A. (1966), Hydraulics of meandering rivers with flood plains. ASCE Water Resource Engineering Conference, Denver, Colorado.",Toebes and Sooky,1966,b6_c2_r126
"U.S. Department of Agriculture. (1963), Guide for selecting roughness coefficient (n) values for channels, Soil Conservation Service, Washington D.C.",U.S. Department of Agriculture,1963,b6_c2_r127
"Warnock, J.E. (1950), Hydraulic Similitude, chapter II, pages 136-176. John Wiley and Sons, Inc. and Chapman and Hall, Ltd., New York, London, 1950. Engineering Hydraulics, H. Rouse (editor), Proceedings of the Fourth Hydraulics Conference, Iowa Institute of Hydraulic Research, June 12-15, 1949.",Warnock,1949,b6_c2_r128
"Wark, J.B., Ervine, D.A. and Samuels, P.G. (1990), A practical method of estimating velocity and discharge in compound channels, Int. Conf. on River Flood Hydraulics, Ed. W.R. White, Wallingford, England, 1990, pp. 163-172",Wark et al,1990,b6_c2_r129
"Bazin, H. (1897), Etude d'une nouvelle formule pour calculer le debit des canaux decouverts (A new formula for the calculation of discharge in open channels). Annales des ponts et chaussées, Memoire no. 41, vol. 14, ser. 7, 4me trimestre,1897, pp. 20-70. Cited from Chow (1959).",Bazin,1897,b6_c2_r13
"Wark, J.B., Slade, J.E. and Ramsbottom, D.M. (1991), Flood Discharge Assessment by the Lateral Distribution Method. Report SR277, HR Wallingford, December",Wark et al,1991,b6_c2_r130
"Wormleaton, P.R. and Merrett, D.J. (1990), An improved method of calculation for steady uniform flow in prismatic main channel/flood plain sections. Journal of Hydraulic Research, Feb. 1990, volume 28, no. 2, pp. 157-174.",Wormleaton and Merrett,1990,b6_c2_r131
"Wormleaton, P.R., Allen, J. and Hadjipanos, P. (1982), Discharge assessment in compound channel flow. Proc. ASCE, Journal of the Hydraulics Division, Sep. 1982, volume 108, no. HY9, pp. 975-994.",Wormleaton et al,1982,b6_c2_r132
"Wright, R.R. and Carstens, M.R. (1970), Linear-Momentum flux to overbank sections. Proc. ASCE, Journal of Hydraulics Division, Sept. 1970, volume 96, no. HY9, pp. 1781-1793.",Wright and Carstens,1970,b6_c2_r133
"Yen, B.C. (1973), Open Channel Flow Equation Revisited. Journal of the Engineering Mechanics Division, ASCE, Oct. 1973, vol. 99, no. EM5, pp. 979-1009.",Yen,1973,b6_c2_r134
"Yuen, K.W.H. and Knight, D.W. (1990), Critical Flow in a Two Stage Channel. International conference on River Flood Hydraulics, Sept. 1990, Wallingford, England. Editor Dr. W.R. White, John Wiley & Sons.",Yuen and Knight,1990,b6_c2_r135
"Zheleznyakov, G.V. (1965), Relative deficit of mean velocity of unstable river flow, kinematic effect in river beds with flood plains. Proc. of the 11th International Congress IAHR, Leningrad, USSR.",Zheleznyakov,1965,b6_c2_r136
"Arnold U., Hottges J., and Rouv G. (1989), Turbulence and mixing mechanisms in compound open channel flow, in Proc. 23rd IAHR Congress, pp. A-133-A-140, IAHR, Ottawa, Canada.",Arnold et al,1989,b6_c2_r137
"Arnold U., Rouve G. (1989) A Review of Investigations on Compound Open-Channel, In: Proc. Hydrocomp'89, Dubrovnik, Yugoslavia, 1-22",Arnold and Rouve,1989,b6_c2_r138
"Elger, D.F. Williams, B.C. Clayton T. Crowe, C.T. and Roberson, J.A. (2014) Engineering Fluid Mechanics, 10th Edition",Elger et al,2008,b6_c2_r139
"Bhowmik, N.G. and Demissie, M. (1982), Carrying capacity of flood plains. Proc. ASCE, Journal of the Hydraulics Division, Mar. 1982, volume 108, no. HY3, pp. 443-452.",Bhowmik and Demissie,1982,b6_c2_r14
"Chow, V., Maidment, D. and Mays, L. (1988), Applied hydrology. New York: McGraw-Hill.",Chow et al,1988,b6_c2_r140
"Vennard, J. and Street, R. (1975), Elementary fluid mechanics. New York: J. Wiley.",Vennard and Street ,1975,b6_c2_r141
"Einstein, H.A. (1934), Der hydraulische oder profile-radius [The hydraulic or cross-section radius]. Schweizerische Bauzeitung, Zurich, 103(8), 89-91 (in German).",Einstein,1934,b6_c2_r142
"Blalock, M.E. and Sturm, T.W. (1981), Minimum Specific Energy in Compound Open Channel. Journal of the Hydraulics Division, ASCE, Jun. 1981, volume 107, no. HY6, pp. 699-717.",Blalock and Sturm,1981,b6_c2_r15
"Blalock, M.E. and Sturm, T.W. (1983), Closure to Blalock and Sturm (1981) Journal of Hydraulic Engineering, ASCE, Mar. 1983, volume 109, no. 3, pp. 483-486.",Blalock and Sturm,1983,b6_c2_r16
"Cahdderton, R.A. and Miller, A.C. Friction slope models for M2 profiles. Water Resources Bulletin, American Water Resources Association, Volume 16(2), pp.235-242, April 1980. Paper No. 79037.",Cahdderton and Miller,1980,b6_c2_r17
"Chaudhry, M.H. (2007), Open Channel Flow, Springer Publishing Company.",Chaudhry,2007,b6_c2_r18
"Chaundry, M.H. and Bhallamudi, S.M. (1988), Computation of critical depth in symmetrical compound channels. Journal of Hydraulic Research, IAHR, Apr. 1988, volume 26, no. 4, pp. 377-396.",Chaudhry and Bhallamudi,1988,b6_c2_r19
"Abbott, M.B. and Rasmussen, C.H. (1977), On the Numerical Modelling of Rapid Contraction and Expansion in Models that are Two-dimensional in Plan, Proc. XV11 Congress, IAHR, Baden-Baden.",Abbott and Rasmussen,1977,b6_c2_r2
"Chow, V.T. (1959), Open-Channel Hydraulics. McGraw-Hill Book Company, New York",Chow,1959,b6_c2_r20
